OrgID,Legal title,Applied title,Website,Enabling instruments,Description raison d'étre,Ministerial portfolio,Institutional form,Population code,FAA institution schedule,FAA HR schedule,Appropriate Minister 1,Appropriate Minister 2,Appropriate Minister 3,Year of incorporation,Auditor 1,Auditor 2,Fiscal year end,Federal ownership or representation,Status,End date,Notes
999999,NAFTA Secretariat - Canadian Section,N.A.,N.A.,N.A.,N.A.,N.A.,Departmental Agencies,CST,N.A.,N.A.,N.A.,N.A.,N.A.,.,N.A.,N.A.,N.A.,N.A.,Transferred,2010,"Order in Council P.C. 2010-1083 establishes NAFTA Secretariat, Canadian Section in the Department of Foreign Affairs and International Trade for the purpose of facilitating the operation of the Agreement, effective August 27, 2010."
232,NAV CANADA,N.A.,www.navcanada.ca,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To acquire, own, manage, operate, and develop the Canadian civil air navigation system in a safe, secure, efficient, and cost-effective manner.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1996,KPMG LLP,N.A.,31-Aug,3/15 board members,Active,N.A.,N.A.
214,Nanaimo Port Authority,N.A.,www.npa.ca,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Dickson Dusanj & Wirk LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
217,National Arts Centre Corporation,N.A.,www.nac-cna.ca,"National Arts Centre Act, R.S.C. 1985, c. N-3","To operate and maintain the Centre, to develop the performing arts in the National Capital Region and to assist the Canada Council for the Arts in the development of the performing arts elsewhere in Canada.",Canadian Heritage,Crown Corporations,NAC,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1966,Auditor General of Canada,N.A.,31-Aug,N.A.,Active,N.A.,N.A.
219,National Capital Commission,National Capital Commission,www.ncc-ccn.gc.ca,"National Capital Act, R.S.C. 1985, c. N-4","To prepare plans for and assist in the development, conservation, and improvement of Canada’s Capital Region in order that the nature and character of the seat of the Government of Canada may be in accordance with its national significance.",Canadian Heritage,Crown Corporations,NCC,III,V,Minister of Canadian Heritage,N.A.,N.A.,1959,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
221,National Energy Board,N.A.,www.neb-one.gc.ca,"National Energy Board Act, R.S.C. 1985, c. N-7","The National Energy Board is an independent federal regulator of several parts of Canada’s energy industry. It regulates pipelines, energy development and trade in the public interest with safety as its primary concern. The Minister of Natural Resources is responsible for this organization.",Natural Resources,Departmental Agencies,ENR,I.1,V,Minister of Natural Resources,N.A.,N.A.,1959,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
222,National Farm Products Council,Farm Products Council of Canada,www.fpcc-cpac.gc.ca,"Farm Products Agencies Act, R.S.C. 1985, c. F-4","The Farm Products Council of Canada (FPCC), was established in 1972 under the Farm Products Agencies Act (the Act) as a unique public interest oversight body, which reports to Parliament through the Minister of Agriculture and Agri-Food Canada (the Minister). The FPCC, headed by a Chairperson (Deputy Head) appointed by the Governor in Council, is composed of up to seven members of which at least half must be primary producers at the time of their appointment. The Act provides for the creation of National Marketing Agencies and Promotion Research Agencies. There are currently four marketing agencies: Canadian Hatching Egg Producers, Chicken Farmers of Canada, Egg Farmers of Canada and Turkey Farmers of Canada. There is also one Promotion Research Agency, the Beef PRA. The FPCC supervises and works with these agencies to ensure that the supply management system for poultry and eggs and the promotion research activities for beef cattle work in the balanced interest of all stakeholders, from producers to consumers, and can evolve to respond to current and future challenges. The FPCC also provides advice and recommendations to the Minister, collaborates with provincial supervisory boards and actively works with the Department and Agriculture and Agri-Food portfolio organizations.",Agriculture and Agri-Food,Departmental Agencies,FPN,I.1,IV,Minister of Agriculture and Agri-Food,N.A.,N.A.,1972,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
223,National Film Board,N.A.,www.onf-nfb.gc.ca,"National Film Act, R.S.C., 1985, c. N-8","The National Film Board of Canada (NFB) was created by an Act of  Parliament in 1939 and is a federal agency within the Canadian Heritage  portfolio. The NFB’s mandate is to produce and distribute original and  innovative audiovisual works that add to our understanding of the issues  facing Canadians and raise awareness of Canadian values and viewpoints  across the country and around the world. Over the decades, it has become  the standard for audiovisual innovation in Canada and plays an important  role by highlighting the changes and key events in Canadian society.    As a producer and distributor of audiovisual works, the NFB provides a  unique perspective on Canada’s cultural wealth and diversity. The NFB  explores contemporary social issues through point-of-view documentaries,  auteur animation and new-media content. Today, our artists and artisans  continue to lead the way with advances in form and content in documentary, animation and interactive film.",Canadian Heritage,Departmental Agencies,NFB,I.1,V,Minister of Canadian Heritage,N.A.,N.A.,1939,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
224,National Gallery of Canada,National Gallery of Canada,www.gallery.ca,"Museums Act, S.C. 1990, c. 3, s. 4","To develop, maintain, and make known, throughout Canada and internationally, a collection of works of art, both historic and contemporary, with special but not exclusive reference to Canada and to further knowledge, understanding, and enjoyment of art in general among all Canadians.",Canadian Heritage,Crown Corporations,NGC,III,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1990,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
226,National Museum of Science and Technology,Canada Science and Technology Museum,www.techno-science.ca,"Museums Act, S.C. 1990, c. 3, s. 13","To foster scientific and technological literacy throughout Canada by establishing, maintaining, and developing a collection of scientific and technological objects, with special but not exclusive reference to Canada, and by demonstrating the products and processes of science and technology, as well as their economic, social, and cultural relationships with society.",Canadian Heritage,Crown Corporations,NST,III,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1990,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
228,National Research Council of Canada,National Research Council Canada,www.nrc-cnrc.gc.ca,"National Research Council Act, R.S.C. 1985, c. N-15","The Minister of Innovation, Science and Economic Development is  responsible for the National Research Council of Canada (NRC). The NRC  bridges the innovation gap between early stage research and development  (R&D) and commercialization, focusing on socio-economic benefits for  Canada and increasing national performance in business-led R&D and  innovation. A federal leader in technology development, NRC supports  Canadian industry to enhance their innovation capabilities and capacity  and become more productive in the development and deployment of  innovative products, processes and services for markets of national  priority and importance. With a presence in every province, NRC combines  its strong national foundation with international linkages to help  Canada grow in productivity and remain globally competitive. NRC works  in collaboration with industry, governments and academia to maximize Canada’s overall R&D investment.","Innovation, Science and Economic Development",Departmental Corporations,NRC,II,V,"Minister of Innovation, Science and Economic Development",Minister of Science,N.A.,1916,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
229,National Round Table on the Environment and the Economy,N.A.,N.A.,"National Round Table on the Environment and the Economy Act, S.C. 1993, c. 31","To play the role of catalyst in identifying, explaining, and promoting in all sectors of Canadian society and in all regions of Canada principles and practices of sustainable development.",N.A.,Departmental Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1994,N.A.,N.A.,N.A.,N.A.,Dissolved,2012,N.A.
230,Natural Sciences and Engineering Research Council,Science and Engineering Research Canada,www.nserc-crsng.gc.ca,"Natural Sciences and Engineering Research Council Act, R.S.C. 1985, c. N-21","The Minister of Innovation, Science and Economic Development is responsible for this organization.     The Natural Sciences and Engineering Research Council of Canada (NSERC)  is a key actor in making Canada a leading country of discovery and  innovation. NSERC aims to maximize the value of public investments in  research and development (R&D) and to advance the prosperity and quality  of life of all Canadians. In today’s highly competitive global economy,  NSERC plays a key role in supporting Canada’s innovation ecosystem.  NSERC supports research that benefits all Canadians. By connecting this  innovative research to industry through its partnership initiatives,  NSERC also makes it easier for the private sector to collaborate with  academia and access the wealth of resources Canada’s first-rate academic  system has to offer. NSERC develops the next generation of talented  scientists and engineers through scholarships and research stipends, and increases the visibility of Canadian research.","Innovation, Science and Economic Development",Departmental Corporations,NSE,II,V,"Minister of Innovation, Science and Economic Development",Minister of Science,N.A.,1978,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
231,"Nature Trust of British Columbia, The",N.A.,www.naturetrust.bc.ca,"Canada Corporations Act, R.S.C. 1970, c. C-32",To conserve British Columbia's biological diversity through securement and management of ecologically significant lands,Privy Council,Shared-Governance Corporations,N.A.,N.A.,N.A.,Prime Minister,N.A.,N.A.,1971,DMCL LLP,N.A.,31-Dec,1/17 board members,Active,N.A.,N.A.
234,North Portage Development Corporation (operating as The Forks North Portage Partnership),N.A.,www.theforks.com/business/the-forks-north-portage-partnership,"Corporations Act, C.C.S.M. c. 225","To act as a catalyst, encouraging activities for people in the downtown area through public and private partnerships and revitalization strategies; and to work to ensure financial self-sufficiency.","Innovation, Science and Economic Development",Joint Enterprises,N.A.,N.A.,N.A.,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,1983,MNP LLP,N.A.,31-Mar,33.33 per cent (one common share) ownership,Active,N.A.,N.A.
235,Northern Pipeline Agency,Northern Pipeline Agency Canada,www.npa.gc.ca,"Northern Pipeline Act, R.S.C. 1985, c. N-26","The Northern Pipeline Agency (NPA) was established by the  Northern Pipeline Act  in 1978 and, in the context of the 1977   Agreement Between Canada and the United States of America on Principles Applicable to a Northern Natural Gas Pipeline . NPA has a mandate to carry out  federal responsibilities in respect of the planning and construction of  the Canadian portion of the Alaska Natural Gas Pipeline. The NPA plays a  key role in supporting efficient and expeditious regulatory approval  while ensuring environmental protection and social and economic benefits for Canada.    The Minister of Natural Resources is responsible for this organization.",Natural Resources,Departmental Agencies,NPA,I.1,V,Minister of Natural Resources,N.A.,N.A.,1978,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
